product_id,name,in_store,embellishment_type,fabric,fit,graphic_type,origin,season_code,vendor,color_code,single_sku_catalog_entry,catalog,category,subcategory,current_price
17949551,Maroon Hudson University Adjustable Slouch Cap,TRUE,Embroidered/Sewn,100% Cotton,,SIDELINE,Imported,Fall,Adidas,Maroon,103000000,Clothing & Accessories,Men,Hats,25
18003758,White Hudson University Women's Cropped Short Sleeve T-Shirt,TRUE,Screen Print,65% Polyester/35% Cotton,Crop,Trend/Fashion Graphic,Imported,Fall,Zoozatz,White,,Clothing & Accessories,Women,T-Shirts & Tanks,28
18355371,Black Heather Hudson University Titans Women's Burnout 3/4 Sleeve Shirt,TRUE,Screen Print,50% Cotton/50% Polyester,Classic,Wordmark,Imported,Fall,League Collegiate Wear,Black Heather,,Clothing & Accessories,Women,T-Shirts & Tanks,38
19652712,Steel Grey Hudson University Women's Cropped Short Sleeve T-Shirt,TRUE,Screen Print,100% Cotton,,Trend/Fashion Graphic,Imported,Fall,Blue 84,Steel Grey,,Clothing & Accessories,Women,T-Shirts & Tanks,26
20082021,Hudson University Girls' Burnout Short Sleeve T-Shirt,TRUE,Screen Print,51% Cotton/49% Polyester,Youth,Trend/Fashion Graphic,Imported,Basic Non-Seasonal,Wes & Willy LLC,,,Clothing & Accessories,Kids,Youth,24
20093001,Hudson University Knot Scrunchie,TRUE,Sublimated,96% Polyester/4% Spandex,One Size Fits Most,Trend/Fashion Graphic,Imported,Fall,Zoozatz,,103000000,Clothing & Accessories,Women,Hats,10
20659680,Black Hudson University Dodgeball Pant,TRUE,Screen Print,50% Polyester/46% Cotton/4% Rayon,,Trend/Fashion Graphic,Imported,Basic Non-Seasonal,Alternative Apparel,Black,,Clothing & Accessories,Men,Shorts & Pants,54
20778142,Hudson University Titans Neck Gaiter,TRUE,Sublimated,100% Polyester,,Wordmark,Imported,Fall,FOCO,,100000000,Clothing & Accessories,Accessories,Cold Weather,12.95
20989845,Maroon Hudson University Women's Cropped Rugby Shirt,TRUE,Tackle Twill Applique,100% Cotton,Crop,Wordmark,Imported,Holiday,Champion Products,Maroon,,Clothing & Accessories,Women,Polos,48
21170541,Yellow Hudson University 16 oz. Tumbler,TRUE,Screen Print,,,Wordmark,Imported,Basic Non-Seasonal,Spirit Products Ltd.,Yellow,102000000,Gifts & Collectibles,Drinkware,,42
21201732,Maroon Hudson University Women's Amplifier Long Sleeve T-Shirt,TRUE,Screen Print,100% Polyester,Activewear,SIDELINE,Imported,Fall,Adidas,Maroon,,Clothing & Accessories,Women,T-Shirts & Tanks,30
21226411,Maroon Hudson University Women's Creator Short Sleeve T-Shirt,TRUE,Screen Print,100% Polyester,Activewear,SIDELINE,Imported,Holiday,Adidas,Maroon,,Clothing & Accessories,Women,T-Shirts & Tanks,35
21610737,"Wood Grain Hudson University 9"" x 12"" Barky Sign",TRUE,Screen Print,,,Wordmark,Made in USA,Basic Non-Seasonal,Legacy Apparel,Wood Grain,102000000,Gifts & Collectibles,Tailgate & Spirit,,18
22950262,Burgundy Hudson University Tumbler,TRUE,Etched/Engraved,,,Straight,Imported,Basic Non-Seasonal,LXG,Burgundy,102000000,Gifts & Collectibles,Drinkware,,24
23025916,"Metallic Gold Hudson University 9"" x 10"" Gift Bag",TRUE,Screen Print,,,Wordmark,Imported,Basic Non-Seasonal,Spirit Products Ltd.,Metallic Gold,102000000,Gifts & Collectibles,Tailgate & Spirit,,5.95
23318021,Hudson University Women's Jersey Bandeau,TRUE,Sublimated,84% Polyester/16% Spandex,Crop,Trend/Fashion Graphic,Imported,Fall,Zoozatz,,,Clothing & Accessories,Women,T-Shirts & Tanks,20
24429333,Medium Grey/White Hudson University Women's Crewneck Sweatshirt,TRUE,Screen Print,100% Polyester,Activewear,SIDELINE,Imported,Fall,Adidas,Medium Grey/White,,Clothing & Accessories,Women,Sweatshirts,70
25072277,Gunsmoke Hudson University Women's Tri-Blend V-Neck Short Sleeve T-Shirt,TRUE,Screen Print,50% Polyester/37% Cotton/13% Rayon,Relaxed,Trend/Fashion Graphic,Imported,Basic Non-Seasonal,Gear For Sports,Gunsmoke,,Clothing & Accessories,Women,T-Shirts & Tanks,28
25451381,Hudson University Pranzo Lunch Cooler Bag,FALSE,,,,,,DSV Direct Ship from Vendor,Picnic Time,,101000000,Gifts & Collectibles,Tailgate & Spirit,,75.95
25616203,Mineral Grey Hudson University Women's Arctic Fleece Full-Zip Sweatshirt,TRUE,Embroidered/Sewn,100% Polyester,Athletic,Wordmark,Imported,Holiday,Champion Products,Mineral Grey,,Clothing & Accessories,Women,Outerwear,60
26082042,Hudson University Academic Year Planner,FALSE,,,,,,Fall,Jardine Associates,,100000000,School Supplies,School Supplies,School Logo Supplies,9.74
26747362,Oatmeal/Currant Hudson University Titans Crewneck Sweatshirt,TRUE,Screen Print,50% Polyester/46% Cotton/4% Rayon,,Trend/Fashion Graphic,Imported,Fall,Alternative Apparel,Oatmeal/Currant,,Clothing & Accessories,Men,Sweatshirts,56
27135286,"Hudson University 3/4"" Lanyard",TRUE,Screen Print,,,Straight,Imported,Basic Non-Seasonal,Neil Enterprises Inc,,102000000,Gifts & Collectibles,School Accessories,,9.95
27419604,Maroon Hudson University Titans Short Sleeve T-Shirt,TRUE,Screen Print,40% Recycl Poly/20% Cotton/40% Poly,,Trend/Fashion Graphic,Imported,Fall,League Collegiate Wear,Maroon,,Clothing & Accessories,Men,T-Shirts & Tanks,30
27480421,Black Hudson University Long Sleeve T-Shirt,TRUE,Screen Print,50% Cotton/50% Polyester,,Trend/Fashion Graphic,Imported,Basic Non-Seasonal,Alternative Apparel,Black,,Clothing & Accessories,Men,T-Shirts & Tanks,32
28207186,"Gold Hudson University 3.5"" x 3.5"" Square Block",TRUE,Screen Print,,,Mascot,Made in USA,Basic Non-Seasonal,Legacy Apparel,Gold,103000000,Gifts & Collectibles,Tailgate & Spirit,,9.95
28617015,Hudson University Titans Hockey Short Sleeve T-Shirt,TRUE,Screen Print,100% Cotton,,Sport Program,Imported,Basic Non-Seasonal,Champion Products,,,Clothing & Accessories,Men,T-Shirts & Tanks,19.95
29546547,Black Hudson University Titans V-Neck Short Sleeve T-Shirt,TRUE,Screen Print,50% Polyester/37% Cotton/13% Rayon,Relaxed,Mascot,Imported,Basic Non-Seasonal,Gear For Sports,Black,,Clothing & Accessories,Women,T-Shirts & Tanks,28
30829362,Burgundy Hudson University Titans Playing Cards,TRUE,Screen Print,,,Mascot,Made in USA,Basic Non-Seasonal,Spirit Products Ltd.,Burgundy,102000000,Gifts & Collectibles,Tailgate & Spirit,,9.95
33660097,Black Hudson University 12 oz. Mug,TRUE,Etched/Engraved,,,Wordmark,Imported,Spring,LXG,Black,102000000,Gifts & Collectibles,Drinkware,,28
33780024,OtterBox Black iPhone 11 Pro Max Otter + Pop Symmetry case with Hudson U Titans Primary Mark design,TRUE,,,,,,DSV Direct Ship from Vendor,Branded Logistics LLC,,100000000,Electronics,Cell Phones,Phone Cases,69.95
34798669,OtterBox Black iPhone 11 Symmetry case with Hudson U Titans Primary Mark design,FALSE,,,,,,DSV Direct Ship from Vendor,Branded Logistics LLC,,100000000,Electronics,Cell Phones,Phone Cases,59.95
36757271,OtterBox Black iPhone 11 Otter + Pop Symmetry case with Hudson U Titans Primary Mark design,TRUE,,,,,,DSV Direct Ship from Vendor,Branded Logistics LLC,,100000000,Electronics,Cell Phones,Phone Cases,69.95
36846669,Gold Hudson University Adjustable Slouch Cap,TRUE,Embroidered/Sewn,100% Cotton,,SIDELINE,Imported,Fall,Adidas,Gold,103000000,Clothing & Accessories,Men,Hats,25
36875923,Maroon2 Hudson University Titans Stripe Polo,TRUE,Embroidered/Sewn,92% Polyester/8% Spandex,,Mascot,Imported,Fall,Peter Millar,Maroon2,,Clothing & Accessories,Men,Polos,125
38036019,Black Hudson University Titans Crewneck Sweatshirt,TRUE,Screen Print,50% Polyester/46% Cotton/4% Rayon,,Trend/Fashion Graphic,Imported,Basic Non-Seasonal,Alternative Apparel,Black,,Clothing & Accessories,Men,Sweatshirts,54
38612300,Gold Hudson University 12 oz. Glass,TRUE,Etched/Engraved,,,Wordmark,Imported,Basic Non-Seasonal,LXG,Gold,102000000,Gifts & Collectibles,Drinkware,,9.95
39078604,White Hudson University Orbiter Pen,TRUE,Screen Print,,,Straight,Imported,Basic Non-Seasonal,Spirit Products Ltd.,White,102000000,Gifts & Collectibles,Office & Travel,,1.95
39253827,Hudson University Toddler Boys' Short Sleeve T-Shirt,TRUE,Screen Print,55% Cotton/25% Poly/20% Viscose,Toddler,Trend/Fashion Graphic,Imported,Basic Non-Seasonal,Wes & Willy LLC,,,Clothing & Accessories,Kids,Infant & Toddler,22
39326590,Black Hudson University Coaches Flex Slouch Hat,TRUE,Embroidered/Sewn,97% Polyester/3% Elastane,,SIDELINE,Imported,Fall,Adidas,Black,103000000,Clothing & Accessories,Men,Hats,28
39396230,Silver Hudson University Titans Keytag,TRUE,Embroidered/Sewn,,,Wordmark,Imported,Basic Non-Seasonal,Spirit Products Ltd.,Silver,102000000,Gifts & Collectibles,School Accessories,,14
39523972,Hudson University Youth Amplifier Short Sleeve T-Shirt,TRUE,Screen Print,100% Polyester,Youth,SIDELINE,Imported,Fall,Adidas,,,Clothing & Accessories,Kids,Youth,20
40103670,Maroon Hudson University Titans Wrestling T-Shirt,TRUE,Screen Print,100% Cotton,,Sport Program,Imported,Basic Non-Seasonal,Champion Products,Maroon,,Clothing & Accessories,Men,T-Shirts & Tanks,19.95
40389615,Black Hudson University Women's Cropped Tank Top,TRUE,Screen Print,90% Cotton/10% Spandex,Crop,Wordmark,Imported,Holiday,Champion Products,Black,103000000,Clothing & Accessories,Women,T-Shirts & Tanks,26
41015853,Maroon Hudson University Women's Timber Cropped Tee,TRUE,Embroidered/Sewn,100% Cotton,Crop,Straight,Imported,Basic Non-Seasonal,League Collegiate Wear,Maroon,,Clothing & Accessories,Women,Sweatshirts,68
41175264,Hudson University Titans Magnet,TRUE,Other Embellishment,,,Mascot,Made in USA,Basic Non-Seasonal,Spirit Products Ltd.,,102000000,Gifts & Collectibles,School Accessories,,8.95
41546529,Athletic Gold Hudson University 4 Pack 32 oz. Stadium Cups,TRUE,Screen Print,,,Wordmark,Made in USA,Basic Non-Seasonal,Spirit Products Ltd.,Athletic Gold,102000000,Gifts & Collectibles,Drinkware,,11.95
41671269,Col Gold Hudson University Women's Game Mode Training Tank Top,TRUE,Screen Print,92% Polyester/8% Spandex,Activewear,SIDELINE,Imported,Fall,Adidas,Col Gold,103000000,Clothing & Accessories,Women,T-Shirts & Tanks,40
42095323,Hudson University Women's Cropped Short Sleeve T-Shirt,TRUE,Screen Print,65% Polyester/35% Cotton,Crop,Trend/Fashion Graphic,Imported,Fall,Zoozatz,,,Clothing & Accessories,Women,T-Shirts & Tanks,30
42351352,Fall Heather Hudson University Women's V-Neck Crewneck Sweatshirt,TRUE,Screen Print,55% Cotton/43% Polyester/2% Rayon,Classic,Arch,Imported,Basic Non-Seasonal,League Collegiate Wear,Fall Heather,,Clothing & Accessories,Women,Sweatshirts,60
44384569,White Hudson University Crewneck Sweatshirt,TRUE,Other Embellishment,50% Cotton/50% Polyester,,Trend/Fashion Graphic,Imported,Basic Non-Seasonal,Champion Products,White,,Clothing & Accessories,Men,Sweatshirts,48
44847153,Maroon/Black Hudson University Pack 'N Go Jacket,TRUE,Screen Print,100% Polyester,,Wordmark,Imported,Basic Non-Seasonal,Champion Products,Maroon/Black,,Clothing & Accessories,Men,Outerwear,52
44973276,Maroon Hudson University Titans Women's V-Neck Long Sleeve T-Shirt,TRUE,Screen Print,60% Recover Cotton/40% Recycle Poly,Classic,Straight,Imported,Fall,League Collegiate Wear,Maroon,,Clothing & Accessories,Women,T-Shirts & Tanks,34
46069339,Black Hudson University Bomber Jacket,TRUE,Screen Print,100% Polyester,,SIDELINE,Imported,Fall,Adidas,Black,,Clothing & Accessories,Men,Outerwear,85
46628751,OtterBox Black iPhone 8/7 Otter + Pop Symmetry case with Hudson U Titans Primary Mark design,TRUE,,,,,,DSV Direct Ship from Vendor,Branded Logistics LLC,,100000000,Electronics,Cell Phones,Phone Cases,59.95
51192248,Hudson University Titans Youth Short Sleeve T-Shirt,TRUE,Screen Print,100% Cotton,Youth,Trend/Fashion Graphic,Imported,Basic Non-Seasonal,Champion Products,,,Clothing & Accessories,Kids,Youth,18
52091641,Col Gold Hudson University No Pity for the Kitty Short Sleeve T-Shirt,TRUE,Screen Print,100% Cotton,,Trend/Fashion Graphic,Imported,Basic Non-Seasonal,Champion Products,Col Gold,,Clothing & Accessories,Men,T-Shirts & Tanks,19.95
52259840,Black/Grey Hudson University Keychain,TRUE,Etched/Engraved,,,Straight,Imported,Basic Non-Seasonal,LXG,Black/Grey,102000000,Gifts & Collectibles,School Accessories,,9.95
52396346,Gold Hudson University Coaches Flex Slouch Hat,TRUE,Embroidered/Sewn,97% Polyester/3% Elastane,,SIDELINE,Imported,Fall,Adidas,Gold,,Clothing & Accessories,Men,Hats,30
52937620,Yellow Hudson University Tote Bag,TRUE,Screen Print,,,Straight,Imported,Basic Non-Seasonal,Spirit Products Ltd.,Yellow,102000000,Clothing & Accessories,Accessories,Backpacks & Bags,19.95
53163399,Hudson University 120 Sheet 3 Subject Notebook,TRUE,Screen Print,,,,Made in USA,Fall,Roaring Spring Blank Book Co.,,,School Supplies,School Supplies,Notebooks & Paper,5.99
53591925,Silver Hudson University Money Clip,TRUE,Etched/Engraved,,,Wordmark,Imported,Basic Non-Seasonal,LXG,Silver,102000000,Clothing & Accessories,Accessories,Watches & Jewelry,28
53796119,Black Hudson University Titans 32 oz. Tumbler,TRUE,Etched/Engraved,,,Mascot,Imported,Spring,LXG,Black,102000000,Gifts & Collectibles,Drinkware,,30
54413528,Maroon Hudson University Pants,TRUE,Screen Print,65% Recycled Poly/35% Doublknt Poly,,SIDELINE,Imported,Fall,Adidas,Maroon,,Clothing & Accessories,Men,Shorts & Pants,75
54793016,Maroon Hudson University Titans Banner Door Hanger,TRUE,Screen Print,,,Mascot,Made in USA,Basic Non-Seasonal,Legacy Apparel,Maroon,103000000,Gifts & Collectibles,Tailgate & Spirit,,18
55845713,Washed Pepper Hudson University Women's Weathered Terry Shorts,TRUE,Screen Print,100% Cotton,Classic,Arch over Straight,Imported,Fall,League Collegiate Wear,Washed Pepper,102000000,Clothing & Accessories,Women,Shorts & Pants,34
56045676,Col Gold Hudson University Creator Short Sleeve T-Shirt,TRUE,Screen Print,100% Polyester,,SIDELINE,Imported,Holiday,Adidas,Col Gold,,Clothing & Accessories,Men,T-Shirts & Tanks,35
56186079,Honey Brown Hudson University Women's Cropped Long Sleeve T-Shirt,TRUE,Screen Print,100% Cotton,Crop,Mascot,Imported,Basic Non-Seasonal,League Collegiate Wear,Honey Brown,,Clothing & Accessories,Women,T-Shirts & Tanks,38
57450359,Hudson University Short Sleeve T-Shirt,TRUE,Screen Print,100% Cotton,,Arch over Straight,Imported,Basic Non-Seasonal,Champion Products,,,Clothing & Accessories,Men,T-Shirts & Tanks,19.95
57450404,Hudson University Hooded Sweatshirt,TRUE,Embroidered/Sewn,50% Cotton/50% Polyester,,Arch,Imported,Basic Non-Seasonal,Champion Products,,,Clothing & Accessories,Men,Sweatshirts,60
57450410,Hudson University Short Sleeve T-Shirt,TRUE,Screen Print,100% Cotton,,Arch,Imported,Basic Non-Seasonal,Champion Products,,,Clothing & Accessories,Men,T-Shirts & Tanks,19.95
57450419,Hudson University 16 oz. Mug,TRUE,Etched/Engraved,,,Wordmark,Imported,Basic Non-Seasonal,LXG,Burgundy,57451714,Gifts & Collectibles,Drinkware,,12.95
57450486,"Hudson University 3/8"" Lanyard",TRUE,Screen Print,,,Straight,Made in USA,Basic Non-Seasonal,Spirit Products Ltd.,,,Gifts & Collectibles,Tailgate & Spirit,,4.95
57450512,Hudson University Titans Youth Short Sleeve T-Shirt,TRUE,Screen Print,100% Cotton,Youth,Mascot,Imported,Basic Non-Seasonal,Champion Products,,,Clothing & Accessories,Kids,Youth,18
57450608,Hudson University Titans Lanyard ID Holder,TRUE,Screen Print,,,Straight,Made in USA,Basic Non-Seasonal,Spirit Products Ltd.,,,Gifts & Collectibles,Tailgate & Spirit,,8.95
57450610,Hudson University Crewneck Sweatshirt,TRUE,Tackle Twill Applique,50% Cotton/50% Polyester,,Arch over Straight,Imported,Basic Non-Seasonal,Champion Products,Maroon,,Clothing & Accessories,Men,Sweatshirts,52
57450625,Hudson University Reverse Weave Crewneck Sweatshirt,TRUE,Screen Print,82% Cotton/18% Polyester,,Official Seal,Imported,Basic Non-Seasonal,Champion Products,,,Clothing & Accessories,Men,Sweatshirts,56
57450654,Hudson University Cap,TRUE,Embroidered/Sewn,100% Cotton,,Straight,Imported,Basic Non-Seasonal,The Game,,,Clothing & Accessories,Men,Hats,22
57450667,Hudson University Short Sleeve T-Shirt,TRUE,Screen Print,100% Cotton,,Arch over Straight,Imported,Basic Non-Seasonal,Champion Products,,,Clothing & Accessories,Men,T-Shirts & Tanks,19.95
57450697,Hudson University 2 Pack Mardi Gras Beads,TRUE,,,,,Imported,Basic Non-Seasonal,Spirit Products Ltd.,Maroon,57450698,Gifts & Collectibles,Tailgate & Spirit,,1.95
57450700,"Hudson University 48"" Umbrella",TRUE,Screen Print,,,Wordmark,Imported,Basic Non-Seasonal,Storm Duds,Maroon/Gold,57450701,Clothing & Accessories,Accessories,Rain Gear,20
57450702,1514D Hudson University License Plate Frame,TRUE,Other Embellishment,,,Straight,Made in USA,Basic Non-Seasonal,Strand Art Co.,Chrome,57450703,Gifts & Collectibles,Auto Accessories,,16
57450762,Hudson University Playing Cards,TRUE,Screen Print,,,Wordmark,Made in USA,Basic Non-Seasonal,Spirit Products Ltd.,,57450763,Gifts & Collectibles,Tailgate & Spirit,,9.95
57450870,"Hudson University 62"" Windshaft Umbrella",TRUE,,,,,Imported,Basic Non-Seasonal,Storm Duds,,57450871,Clothing & Accessories,Accessories,Rain Gear,30
57450872,Hudson University Cling Decal,TRUE,Decal,,,Wordmark,Made in USA,Basic Non-Seasonal,C.D.I. Corporation,Clear,57450873,Gifts & Collectibles,Auto Accessories,,3.95
57450882,Hudson University Decal Alternate,TRUE,Decal,,,Wordmark,Made in USA,Basic Non-Seasonal,C.D.I. Corporation,Clear,57450883,Gifts & Collectibles,Auto Accessories,,6.95
57450884,Atlas Decal,TRUE,Decal,,,Mascot,Made in USA,Basic Non-Seasonal,C.D.I. Corporation,Clear,57450885,Gifts & Collectibles,Auto Accessories,,6.95
57450886,Hudson University Titans Decal,TRUE,Decal,,,Mascot,Made in USA,Basic Non-Seasonal,C.D.I. Corporation,,57450887,Gifts & Collectibles,Auto Accessories,,6.95
57450902,Hudson University Atlas Titans Cling Decal,TRUE,Decal,,,Mascot,Made in USA,Basic Non-Seasonal,C.D.I. Corporation,Clear,57450903,Gifts & Collectibles,Auto Accessories,,3.95
57450910,Hudson University Alumni Titans Atlas Cling Decal,TRUE,Decal,,,Alumni,Made in USA,Basic Non-Seasonal,C.D.I. Corporation,Clear,57450911,Gifts & Collectibles,Auto Accessories,,3.95
57450916,Hudson University Titans Foam Hand,TRUE,Screen Print,,,Mascot,Made in USA,Basic Non-Seasonal,Spirit Products Ltd.,Athletic Gold,57450917,Gifts & Collectibles,Tailgate & Spirit,,7.95
57450923,"Hudson University 2.2""x3.6"" Dome Magnet",TRUE,Decal,,,Wordmark,Made in USA,Basic Non-Seasonal,"Stockdale Technologies, Inc",White,57450924,Gifts & Collectibles,Tailgate & Spirit,,4.95
57450958,Hudson University Short Sleeve T-Shirt,TRUE,Screen Print,100% Cotton,,Straight,Imported,Basic Non-Seasonal,Champion Products,C Gold,,Clothing & Accessories,Men,T-Shirts & Tanks,19.95
57451336,Hudson University 16 oz. Bistro Mug,TRUE,Etched/Engraved,,,Wordmark,Imported,Basic Non-Seasonal,LXG,Black,71744482,Gifts & Collectibles,Drinkware,,12.95
57451347,Hudson University Card Guard Thumbnotch,TRUE,Screen Print,,,Wordmark,Made in USA,Basic Non-Seasonal,Spirit Products Ltd.,,57451348,Gifts & Collectibles,School Accessories,,5.95
57451472,Hudson U Football-Shaped Rally Beads,FALSE,,,,,Imported,Basic Non-Seasonal,Spirit Products Ltd.,Maroon,57451473,Gifts & Collectibles,Tailgate & Spirit,,6.95
57451494,Hudson University Trillium Desk Clock,TRUE,Etched/Engraved,,,Wordmark,Imported,Basic Non-Seasonal,LXG,Black,57451495,Gifts & Collectibles,Home Decor,,35
57451504,Hudson University Desk Clock,TRUE,Etched/Engraved,,,Official Seal,Imported,Basic Non-Seasonal,LXG,Metal Trillium,57451505,Gifts & Collectibles,Home Decor,,32
57451506,Hudson University 5-Piece Deskset,TRUE,Etched/Engraved,,,Wordmark,Imported,Basic Non-Seasonal,LXG,Metal Trillium,57451507,Gifts & Collectibles,Office & Travel,,36
57451848,Hudson University Titans Face Decal,TRUE,Screen Print,,,Trend/Fashion Graphic,Made in USA,Basic Non-Seasonal,"Stockdale Technologies, Inc",,57451849,Gifts & Collectibles,Tailgate & Spirit,,4.95
57451864,Hudson University Titans Frisbee,TRUE,Screen Print,,,Mascot,Made in USA,Basic Non-Seasonal,Spirit Products Ltd.,Black,57451865,Gifts & Collectibles,Tailgate & Spirit,,2.95
57564875,"Hudson University 1.5"" Vinyl Binder",FALSE,Screen Print,,,Official Seal,Made in USA,Basic Non-Seasonal,Four Point Products,,,School Supplies,School Supplies,Folder & Binders,7.49
57564880,"Hudson University 2"" Vinyl Binder",TRUE,Screen Print,,,Arch,Made in USA,Basic Non-Seasonal,Four Point Products,,,School Supplies,School Supplies,Folder & Binders,8.99
57564900,Hudson University Medallion Padholder,TRUE,,,,,,Basic Non-Seasonal,Four Point Products,Black,57564901,School Supplies,School Supplies,Folder & Binders,33
58087086,Hudson University Tall Tale 1 Subject Notebook,TRUE,Screen Print,,,,Made in USA,Fall,Roaring Spring Blank Book Co.,,102000000,School Supplies,School Supplies,Notebooks & Paper,3.49
58389463,Black Heather Hudson University Titans Women's Burnout Tank Top,TRUE,Screen Print,50% Cotton/50% Polyester,Classic,Mascot,Imported,Fall,League Collegiate Wear,Black Heather,,Clothing & Accessories,Women,T-Shirts & Tanks,32
58444991,Burgundy Hudson University Trucker Cap,TRUE,Felt Applique,100% Cotton,,Wordmark,Imported,Basic Non-Seasonal,Legacy Apparel,Burgundy,100000000,Clothing & Accessories,Men,Hats,28
60461807,Hudson University 70 Sheet 1 Subject Notebook,TRUE,,,,,,Fall,Roaring Spring Blank Book Co.,,102000000,School Supplies,School Supplies,Notebooks & Paper,3.79
60474855,Hudson University Cheese Cutting Board & Tools Set,TRUE,,,,,,DSV Direct Ship from Vendor,Picnic Time,,101000000,Gifts & Collectibles,Home Decor,,49.95
61921539,Maroon Hudson University Adjustable Snapback Flat Brim Cap,TRUE,Embroidered/Sewn,100% Cotton,,SIDELINE,Imported,Fall,Adidas,Maroon,103000000,Clothing & Accessories,Men,Hats,32
62538943,Black Hudson University Football Short Sleeve T-Shirt,TRUE,Screen Print,100% Cotton,,Sport Program,Imported,Basic Non-Seasonal,Champion Products,Black,,Clothing & Accessories,Men,T-Shirts & Tanks,19.95
62654907,Black Hudson University Women's Creator Short Sleeve T-Shirt,TRUE,Screen Print,100% Polyester,Activewear,SIDELINE,Imported,Holiday,Adidas,Black,,Clothing & Accessories,Women,T-Shirts & Tanks,35
62745168,OtterBox Black iPhone 8/7 Plus Otter + Pop Symmetry case with Hudson U Titans Primary Mark design,FALSE,,,,,,DSV Direct Ship from Vendor,Branded Logistics LLC,,100000000,Electronics,Cell Phones,Phone Cases,69.95
62832390,OtterBox Black iPhone 11 Pro Symmetry case with Hudson U Titans Primary Mark design,TRUE,,,,,,DSV Direct Ship from Vendor,Branded Logistics LLC,,100000000,Electronics,Cell Phones,Phone Cases,59.95
63784338,Black Hudson University #2 Round Pencil,TRUE,Screen Print,,,Wordmark,Imported,Basic Non-Seasonal,Spirit Products Ltd.,Black,102000000,Gifts & Collectibles,Office & Travel,,1.25
64017795,Varsity Maroon Heather Hudson University Long Sleeve T-Shirt,TRUE,Screen Print,50% Cotton/37% Polyester/13% Rayon,,Trend/Fashion Graphic,Imported,Holiday,League Collegiate Wear,Varsity Maroon Heather,,Clothing & Accessories,Men,T-Shirts & Tanks,38
64923741,Hudson University #85 Youth Replica Jersey,TRUE,Screen Print,100% Polyester,Youth,SIDELINE,Imported,Fall,Adidas,,,Clothing & Accessories,Kids,Youth,55
66028694,Black Hudson University Women's Game Mode Training Tank Top,TRUE,Screen Print,92% Polyester/8% Spandex,Activewear,SIDELINE,Imported,Fall,Adidas,Black,,Clothing & Accessories,Women,T-Shirts & Tanks,40
66778002,Hudson University 11 oz. Mug,TRUE,Screen Print,,,Wordmark,Imported,Basic Non-Seasonal,Spirit Products Ltd.,Maroon,72613109,Gifts & Collectibles,Drinkware,,9.95
67620579,Maroon Hudson University Titans Volleyball Short Sleeve T-Shirt,TRUE,Screen Print,100% Cotton,,Sport Program,Imported,Basic Non-Seasonal,Champion Products,Maroon,,Clothing & Accessories,Men,T-Shirts & Tanks,19.95
67919936,C Gold Hudson University Titans Mesh Shorts,TRUE,Screen Print,Trilobal Mesh,,Trend/Fashion Graphic,Imported,Basic Non-Seasonal,Champion Products,C Gold,,Clothing & Accessories,Men,Shorts & Pants,30
