order_id,outlet,date
80137,Sam 's Club,2010-03-10 00:00:00
80138,Academy Sports,2010-03-11 00:00:00
80139,K-Mart,2010-03-11 00:00:00
80140,Target,2010-03-11 00:00:00
80141,Costco,2010-03-12 00:00:00
80142,Sam 's Club,2010-03-12 00:00:00
80143,Academy Sports,2010-03-13 00:00:00
80144,Target,2010-03-13 00:00:00
80145,Walmart,2010-03-13 00:00:00
80146,Big 5,2010-03-14 00:00:00
80147,Costco,2010-03-14 00:00:00
80148,Academy Sports,2010-03-15 00:00:00
80149,Dick 's Sproting Goods,2010-03-15 00:00:00
80150,Sam 's Club,2010-03-15 00:00:00
80151,Target,2010-03-15 00:00:00
80152,Costco,2010-03-16 00:00:00
80153,K-Mart,2010-03-16 00:00:00
80154,Walmart,2010-03-16 00:00:00
80155,Sam 's Club,2010-03-17 00:00:00
80156,Target,2010-03-17 00:00:00
80157,Academy Sports,2010-03-18 00:00:00
80158,K-Mart,2010-03-18 00:00:00
80159,Walmart,2010-03-18 00:00:00
80160,Dick 's Sproting Goods,2010-03-19 00:00:00
80161,Target,2010-03-19 00:00:00
80162,Big 5,2010-03-20 00:00:00
80163,Sam 's Club,2010-03-20 00:00:00
80164,Walmart,2010-03-20 00:00:00
80165,Costco,2010-03-21 00:00:00
80166,Dick 's Sproting Goods,2010-03-21 00:00:00
80167,Target,2010-03-21 00:00:00
80168,K-Mart,2010-03-22 00:00:00
80169,Costco,2010-03-23 00:00:00
80170,Sam 's Club,2010-03-23 00:00:00
80171,Target,2010-03-23 00:00:00
80172,Walmart,2010-03-23 00:00:00
80173,K-Mart,2010-03-24 00:00:00
80174,Academy Sports,2010-03-25 00:00:00
80175,Big 5,2010-03-25 00:00:00
80176,Dick 's Sproting Goods,2010-03-25 00:00:00
80177,Sam 's Club,2010-03-25 00:00:00
80178,Target,2010-03-25 00:00:00
80179,Walmart,2010-03-25 00:00:00
80180,Costco,2010-03-26 00:00:00
80181,Academy Sports,2010-03-27 00:00:00
80182,Dick 's Sproting Goods,2010-03-28 00:00:00
80183,K-Mart,2010-03-28 00:00:00
80184,Walmart,2010-03-28 00:00:00
80185,Academy Sports,2010-03-29 00:00:00
80186,K-Mart,2010-03-30 00:00:00
80187,Walmart,2010-03-30 00:00:00
80188,Dick 's Sproting Goods,2010-03-31 00:00:00
80189,Walmart,2010-04-01 00:00:00
80190,Big 5,2010-04-02 00:00:00
80191,Costco,2010-04-02 00:00:00
80192,Sam 's Club,2010-04-02 00:00:00
80193,K-Mart,2010-04-03 00:00:00
80194,Target,2010-04-03 00:00:00
80195,Walmart,2010-04-03 00:00:00
80196,Academy Sports,2010-04-04 00:00:00
80197,Dick 's Sproting Goods,2010-04-05 00:00:00
80198,Sam 's Club,2010-04-05 00:00:00
80199,Target,2010-04-05 00:00:00
80200,Academy Sports,2010-04-06 00:00:00
80201,Big 5,2010-04-06 00:00:00
80202,Costco,2010-04-06 00:00:00
80203,Target,2010-04-07 00:00:00
80204,K-Mart,2010-04-08 00:00:00
80205,Sam 's Club,2010-04-08 00:00:00
80206,Walmart,2010-04-08 00:00:00
80207,Big 5,2010-04-09 00:00:00
80208,Dick 's Sproting Goods,2010-04-09 00:00:00
80209,Academy Sports,2010-04-10 00:00:00
80210,Sam 's Club,2010-04-10 00:00:00
80211,Big 5,2010-04-11 00:00:00
80212,K-Mart,2010-04-11 00:00:00
80213,Target,2010-04-11 00:00:00
80214,Walmart,2010-04-11 00:00:00
80215,K-Mart,2010-04-13 00:00:00
80216,Target,2010-04-13 00:00:00
80217,Sam 's Club,2010-04-14 00:00:00
80218,Costco,2010-04-15 00:00:00
80219,Walmart,2010-04-15 00:00:00
80220,Academy Sports,2010-04-16 00:00:00
80221,Dick 's Sproting Goods,2010-04-16 00:00:00
80222,Target,2010-04-16 00:00:00
80223,Big 5,2010-04-17 00:00:00
80224,Costco,2010-04-17 00:00:00
80225,K-Mart,2010-04-17 00:00:00
80226,Walmart,2010-04-17 00:00:00
80227,Costco,2010-04-19 00:00:00
80228,K-Mart,2010-04-19 00:00:00
80229,Sam 's Club,2010-04-19 00:00:00
80230,Academy Sports,2010-04-20 00:00:00
80231,Dick 's Sproting Goods,2010-04-20 00:00:00
80232,Sam 's Club,2010-04-21 00:00:00
80233,Target,2010-04-21 00:00:00
80234,Walmart,2010-04-21 00:00:00
80235,Big 5,2010-04-22 00:00:00
80236,Costco,2010-04-22 00:00:00
80237,Dick 's Sproting Goods,2010-04-22 00:00:00
80238,K-Mart,2010-04-22 00:00:00
80239,Academy Sports,2010-04-24 00:00:00
80240,Dick 's Sproting Goods,2010-04-24 00:00:00
80241,K-Mart,2010-04-24 00:00:00
80242,Target,2010-04-24 00:00:00
80243,Walmart,2010-04-24 00:00:00
80244,Academy Sports,2010-04-26 00:00:00
80245,Big 5,2010-04-26 00:00:00
80246,Dick 's Sproting Goods,2010-04-26 00:00:00
80247,Target,2010-04-26 00:00:00
80248,K-Mart,2010-04-27 00:00:00
80249,Walmart,2010-04-28 00:00:00
80250,Academy Sports,2010-04-29 00:00:00
80251,Costco,2010-04-29 00:00:00
80252,Sam 's Club,2010-04-29 00:00:00
80253,K-Mart,2010-04-30 00:00:00
80254,Target,2010-04-30 00:00:00
80255,Academy Sports,2010-05-01 00:00:00
80256,Costco,2010-05-01 00:00:00
80257,Dick 's Sproting Goods,2010-05-01 00:00:00
80258,Sam 's Club,2010-05-01 00:00:00
80259,Target,2010-05-02 00:00:00
80260,K-Mart,2010-05-03 00:00:00
80261,Walmart,2010-05-03 00:00:00
80262,Academy Sports,2010-05-04 00:00:00
80263,Sam 's Club,2010-05-04 00:00:00
80264,Target,2010-05-04 00:00:00
80265,Costco,2010-05-05 00:00:00
80266,K-Mart,2010-05-05 00:00:00
80267,Walmart,2010-05-05 00:00:00
80268,Big 5,2010-05-06 00:00:00
80269,Walmart,2010-05-07 00:00:00
80270,Costco,2010-05-08 00:00:00
80271,Dick 's Sproting Goods,2010-05-08 00:00:00
80272,Sam 's Club,2010-05-08 00:00:00
80273,Target,2010-05-08 00:00:00
80274,Big 5,2010-05-09 00:00:00
80275,Walmart,2010-05-09 00:00:00
80276,Academy Sports,2010-05-10 00:00:00
80277,Dick 's Sproting Goods,2010-05-10 00:00:00
80278,K-Mart,2010-05-10 00:00:00
80279,Target,2010-05-10 00:00:00
80280,Costco,2010-05-11 00:00:00
80281,Sam 's Club,2010-05-11 00:00:00
80282,Big 5,2010-05-12 00:00:00
80283,Target,2010-05-12 00:00:00
80284,Walmart,2010-05-12 00:00:00
80285,Academy Sports,2010-05-13 00:00:00
80286,Costco,2010-05-13 00:00:00
80287,Dick 's Sproting Goods,2010-05-13 00:00:00
80288,Sam 's Club,2010-05-13 00:00:00
80289,Big 5,2010-05-14 00:00:00
80290,Target,2010-05-14 00:00:00
80291,K-Mart,2010-05-15 00:00:00
80292,Sam 's Club,2010-05-15 00:00:00
80293,Academy Sports,2010-05-16 00:00:00
80294,Big 5,2010-05-16 00:00:00
80295,Costco,2010-05-16 00:00:00
80296,Dick 's Sproting Goods,2010-05-16 00:00:00
80297,Sam 's Club,2010-05-17 00:00:00
80298,Target,2010-05-17 00:00:00
80299,Walmart,2010-05-17 00:00:00
80300,Academy Sports,2010-05-19 00:00:00
80301,Costco,2010-05-19 00:00:00
80302,K-Mart,2010-05-19 00:00:00
80303,Sam 's Club,2010-05-19 00:00:00
80304,Big 5,2010-05-20 00:00:00
80305,Target,2010-05-20 00:00:00
80306,Costco,2010-05-21 00:00:00
80307,Academy Sports,2010-05-22 00:00:00
80308,Target,2010-05-22 00:00:00
80309,Big 5,2010-05-23 00:00:00
80310,Dick 's Sproting Goods,2010-05-23 00:00:00
80311,Sam 's Club,2010-05-23 00:00:00
80312,Walmart,2010-05-23 00:00:00
80313,Academy Sports,2010-05-24 00:00:00
80314,Big 5,2010-05-25 00:00:00
80315,Sam 's Club,2010-05-25 00:00:00
80316,Target,2010-05-25 00:00:00
80317,K-Mart,2010-05-26 00:00:00
80318,Walmart,2010-05-26 00:00:00
80319,Dick 's Sproting Goods,2010-05-27 00:00:00
80320,Sam 's Club,2010-05-27 00:00:00
80321,Target,2010-05-27 00:00:00
80322,Academy Sports,2010-05-28 00:00:00
80323,K-Mart,2010-05-28 00:00:00
80324,Big 5,2010-05-29 00:00:00
80325,Costco,2010-05-29 00:00:00
80326,Sam 's Club,2010-05-29 00:00:00
80327,Target,2010-05-29 00:00:00
80328,Walmart,2010-05-29 00:00:00
80329,Academy Sports,2010-05-31 00:00:00
80330,Costco,2010-05-31 00:00:00
80331,Big 5,2010-06-01 00:00:00
80332,Dick 's Sproting Goods,2010-06-01 00:00:00
80333,Sam 's Club,2010-06-01 00:00:00
80334,Target,2010-06-01 00:00:00
80335,Costco,2010-06-02 00:00:00
80336,Academy Sports,2010-06-03 00:00:00
80337,Dick 's Sproting Goods,2010-06-03 00:00:00
80338,K-Mart,2010-06-03 00:00:00
80339,Target,2010-06-04 00:00:00
80340,Walmart,2010-06-04 00:00:00
80341,Academy Sports,2010-06-05 00:00:00
80342,Dick 's Sproting Goods,2010-06-05 00:00:00
80343,Sam 's Club,2010-06-06 00:00:00
80344,Academy Sports,2010-06-07 00:00:00
80345,Dick 's Sproting Goods,2010-06-07 00:00:00
80346,K-Mart,2010-06-07 00:00:00
80347,Target,2010-06-07 00:00:00
80348,Walmart,2010-06-08 00:00:00
80349,Sam 's Club,2010-06-09 00:00:00
80350,Academy Sports,2010-06-10 00:00:00
80351,Big 5,2010-06-10 00:00:00
80352,Dick 's Sproting Goods,2010-06-10 00:00:00
80353,Target,2010-06-10 00:00:00
80354,Walmart,2010-06-10 00:00:00
80355,Costco,2010-06-11 00:00:00
80356,Academy Sports,2010-06-12 00:00:00
80357,Big 5,2010-06-13 00:00:00
80358,Dick 's Sproting Goods,2010-06-13 00:00:00
80359,Sam 's Club,2010-06-13 00:00:00
80360,Target,2010-06-13 00:00:00
80361,Costco,2010-06-14 00:00:00
80362,K-Mart,2010-06-14 00:00:00
80363,Academy Sports,2010-06-15 00:00:00
80364,Sam 's Club,2010-06-15 00:00:00
80365,Walmart,2010-06-15 00:00:00
80366,K-Mart,2010-06-16 00:00:00
80367,Costco,2010-06-17 00:00:00
80368,Sam 's Club,2010-06-17 00:00:00
80369,Walmart,2010-06-17 00:00:00
80370,Big 5,2010-06-18 00:00:00
80371,K-Mart,2010-06-18 00:00:00
80372,Academy Sports,2010-06-19 00:00:00
80373,Costco,2010-06-19 00:00:00
80374,Big 5,2010-06-20 00:00:00
80375,Target,2010-06-20 00:00:00
80376,Walmart,2010-06-20 00:00:00
80377,Academy Sports,2010-06-21 00:00:00
80378,K-Mart,2010-06-21 00:00:00
80379,Costco,2010-06-22 00:00:00
80380,Target,2010-06-22 00:00:00
80381,Walmart,2010-06-22 00:00:00
80382,Academy Sports,2010-06-23 00:00:00
80383,K-Mart,2010-06-23 00:00:00
80384,Sam 's Club,2010-06-23 00:00:00
80385,Big 5,2010-06-24 00:00:00
80386,Costco,2010-06-24 00:00:00
80387,Dick 's Sproting Goods,2010-06-24 00:00:00
80388,Target,2010-06-24 00:00:00
80389,K-Mart,2010-06-25 00:00:00
80390,Sam 's Club,2010-06-25 00:00:00
80391,Costco,2010-06-26 00:00:00
80392,Dick 's Sproting Goods,2010-06-26 00:00:00
80393,Walmart,2010-06-26 00:00:00
80394,Big 5,2010-06-27 00:00:00
80395,Sam 's Club,2010-06-27 00:00:00
80396,Academy Sports,2010-06-29 00:00:00
80397,Big 5,2010-06-29 00:00:00
80398,Dick 's Sproting Goods,2010-06-29 00:00:00
80399,K-Mart,2010-06-29 00:00:00
80400,Target,2010-06-29 00:00:00
80401,Costco,2010-06-30 00:00:00
80402,Academy Sports,2010-07-01 00:00:00
80403,Dick 's Sproting Goods,2010-07-01 00:00:00
80404,Sam 's Club,2010-07-01 00:00:00
80405,Walmart,2010-07-01 00:00:00
80406,Target,2010-07-02 00:00:00
80407,Academy Sports,2010-07-03 00:00:00
80408,Big 5,2010-07-03 00:00:00
80409,Dick 's Sproting Goods,2010-07-03 00:00:00
80410,Walmart,2010-07-03 00:00:00
80411,Costco,2010-07-04 00:00:00
80412,Sam 's Club,2010-07-04 00:00:00
80413,Target,2010-07-05 00:00:00
80414,Academy Sports,2010-07-06 00:00:00
80415,Big 5,2010-07-07 00:00:00
80416,Costco,2010-07-07 00:00:00
80417,K-Mart,2010-07-07 00:00:00
80418,Sam 's Club,2010-07-07 00:00:00
80419,Target,2010-07-07 00:00:00
80420,Walmart,2010-07-07 00:00:00
80421,Academy Sports,2010-07-08 00:00:00
80422,Dick 's Sproting Goods,2010-07-08 00:00:00
80423,Target,2010-07-09 00:00:00
80424,K-Mart,2010-07-10 00:00:00
80425,Sam 's Club,2010-07-10 00:00:00
80426,Big 5,2010-07-11 00:00:00
80427,Dick 's Sproting Goods,2010-07-11 00:00:00
80428,Costco,2010-07-12 00:00:00
80429,Sam 's Club,2010-07-12 00:00:00
80430,Target,2010-07-12 00:00:00
80431,Academy Sports,2010-07-14 00:00:00
80432,K-Mart,2010-07-14 00:00:00
80433,Sam 's Club,2010-07-14 00:00:00
80434,Target,2010-07-14 00:00:00
80435,Walmart,2010-07-14 00:00:00
80436,Big 5,2010-07-15 00:00:00
80437,Academy Sports,2010-07-16 00:00:00
80438,Costco,2010-07-16 00:00:00
80439,Dick 's Sproting Goods,2010-07-17 00:00:00
80440,K-Mart,2010-07-17 00:00:00
80441,Target,2010-07-17 00:00:00
80442,Sam 's Club,2010-07-18 00:00:00
80443,Academy Sports,2010-07-19 00:00:00
80444,Costco,2010-07-19 00:00:00
80445,K-Mart,2010-07-19 00:00:00
80446,Big 5,2010-07-20 00:00:00
80447,Academy Sports,2010-07-21 00:00:00
80448,Dick 's Sproting Goods,2010-07-21 00:00:00
80449,Sam 's Club,2010-07-21 00:00:00
80450,Walmart,2010-07-21 00:00:00
80451,Dick 's Sproting Goods,2010-07-23 00:00:00
80452,K-Mart,2010-07-23 00:00:00
80453,Sam 's Club,2010-07-23 00:00:00
80454,Target,2010-07-23 00:00:00
80455,Walmart,2010-07-23 00:00:00
80456,Big 5,2010-07-24 00:00:00
80457,Costco,2010-07-24 00:00:00
80458,Academy Sports,2010-07-25 00:00:00
80459,Sam 's Club,2010-07-25 00:00:00
80460,Walmart,2010-07-25 00:00:00
80461,Big 5,2010-07-26 00:00:00
80462,Costco,2010-07-26 00:00:00
80463,Dick 's Sproting Goods,2010-07-26 00:00:00
80464,K-Mart,2010-07-26 00:00:00
80465,Target,2010-07-26 00:00:00
80466,Academy Sports,2010-07-28 00:00:00
80467,Big 5,2010-07-28 00:00:00
80468,Target,2010-07-29 00:00:00
80469,Academy Sports,2010-07-30 00:00:00
80470,Big 5,2010-07-30 00:00:00
80471,Dick 's Sproting Goods,2010-07-30 00:00:00
80472,K-Mart,2010-07-30 00:00:00
80473,Walmart,2010-07-30 00:00:00
80474,Target,2010-07-31 00:00:00
80475,Big 5,2010-08-02 00:00:00
80476,Sam 's Club,2010-08-02 00:00:00
80477,Target,2010-08-02 00:00:00
80478,Costco,2010-08-03 00:00:00
80479,K-Mart,2010-08-03 00:00:00
80480,Academy Sports,2010-08-04 00:00:00
80481,Sam 's Club,2010-08-04 00:00:00
80482,Costco,2010-08-05 00:00:00
80483,Walmart,2010-08-06 00:00:00
80484,Dick 's Sproting Goods,2010-08-07 00:00:00
80485,Academy Sports,2010-08-08 00:00:00
80486,K-Mart,2010-08-08 00:00:00
80487,Sam 's Club,2010-08-08 00:00:00
80488,Target,2010-08-08 00:00:00
80489,Costco,2010-08-09 00:00:00
80490,Academy Sports,2010-08-10 00:00:00
80491,Dick 's Sproting Goods,2010-08-10 00:00:00
80492,K-Mart,2010-08-10 00:00:00
80493,Target,2010-08-10 00:00:00
80494,Academy Sports,2010-08-12 00:00:00
80495,Big 5,2010-08-12 00:00:00
80496,Costco,2010-08-12 00:00:00
80497,Dick 's Sproting Goods,2010-08-12 00:00:00
80498,Sam 's Club,2010-08-12 00:00:00
80499,K-Mart,2010-08-13 00:00:00
80500,Dick 's Sproting Goods,2010-08-14 00:00:00
80501,Walmart,2010-08-14 00:00:00
80502,Sam 's Club,2010-08-15 00:00:00
80503,Big 5,2010-08-16 00:00:00
80504,Costco,2010-08-16 00:00:00
80505,Dick 's Sproting Goods,2010-08-16 00:00:00
80506,K-Mart,2010-08-16 00:00:00
80507,Target,2010-08-16 00:00:00
80508,Walmart,2010-08-16 00:00:00
80509,Academy Sports,2010-08-19 00:00:00
80510,Costco,2010-08-19 00:00:00
80511,Dick 's Sproting Goods,2010-08-19 00:00:00
80512,Sam 's Club,2010-08-19 00:00:00
80513,Walmart,2010-08-19 00:00:00
80514,Target,2010-08-20 00:00:00
80515,Big 5,2010-08-21 00:00:00
80516,Costco,2010-08-21 00:00:00
80517,K-Mart,2010-08-21 00:00:00
80518,Academy Sports,2010-08-22 00:00:00
80519,Target,2010-08-22 00:00:00
80520,Walmart,2010-08-22 00:00:00
80521,Costco,2010-08-23 00:00:00
80522,Dick 's Sproting Goods,2010-08-24 00:00:00
80523,Target,2010-08-24 00:00:00
80524,Walmart,2010-08-24 00:00:00
80525,Big 5,2010-08-25 00:00:00
80526,Costco,2010-08-25 00:00:00
80527,K-Mart,2010-08-25 00:00:00
80528,Sam 's Club,2010-08-25 00:00:00
80529,Target,2010-08-26 00:00:00
80530,Dick 's Sproting Goods,2010-08-27 00:00:00
80531,K-Mart,2010-08-27 00:00:00
80532,Sam 's Club,2010-08-27 00:00:00
80533,Walmart,2010-08-27 00:00:00
80534,Academy Sports,2010-08-28 00:00:00
80535,Big 5,2010-08-28 00:00:00
80536,Costco,2010-08-28 00:00:00
80537,K-Mart,2010-08-29 00:00:00
80538,Target,2010-08-29 00:00:00
80539,Walmart,2010-08-29 00:00:00
80540,Academy Sports,2010-08-30 00:00:00
80541,Big 5,2010-08-30 00:00:00
80542,Sam 's Club,2010-08-30 00:00:00
80543,Costco,2010-08-31 00:00:00
80544,Dick 's Sproting Goods,2010-08-31 00:00:00
80545,K-Mart,2010-08-31 00:00:00
80546,Walmart,2010-08-31 00:00:00
80547,Sam 's Club,2010-09-01 00:00:00
80548,Target,2010-09-01 00:00:00
80549,K-Mart,2010-09-02 00:00:00
80550,Big 5,2010-09-03 00:00:00
80551,Target,2010-09-03 00:00:00
80552,Walmart,2010-09-03 00:00:00
80553,Dick 's Sproting Goods,2010-09-04 00:00:00
80554,K-Mart,2010-09-04 00:00:00
80555,Sam 's Club,2010-09-04 00:00:00
80556,Academy Sports,2010-09-05 00:00:00
80557,Big 5,2010-09-05 00:00:00
80558,Costco,2010-09-06 00:00:00
80559,Sam 's Club,2010-09-06 00:00:00
80560,Academy Sports,2010-09-07 00:00:00
80561,Big 5,2010-09-07 00:00:00
80562,Dick 's Sproting Goods,2010-09-08 00:00:00
80563,K-Mart,2010-09-08 00:00:00
80564,Academy Sports,2010-09-09 00:00:00
80565,Costco,2010-09-09 00:00:00
80566,Big 5,2010-09-10 00:00:00
80567,K-Mart,2010-09-10 00:00:00
80568,Dick 's Sproting Goods,2010-09-11 00:00:00
80569,K-Mart,2010-09-12 00:00:00
80570,Sam 's Club,2010-09-12 00:00:00
80571,Walmart,2010-09-12 00:00:00
80572,Big 5,2010-09-13 00:00:00
80573,Costco,2010-09-13 00:00:00
80574,Dick 's Sproting Goods,2010-09-13 00:00:00
80575,Target,2010-09-14 00:00:00
80576,Academy Sports,2010-09-15 00:00:00
80577,Big 5,2010-09-15 00:00:00
80578,Costco,2010-09-16 00:00:00
80579,K-Mart,2010-09-16 00:00:00
80580,Target,2010-09-16 00:00:00
80581,Walmart,2010-09-16 00:00:00
80582,Dick 's Sproting Goods,2010-09-17 00:00:00
80583,Walmart,2010-09-18 00:00:00
80584,Academy Sports,2010-09-20 00:00:00
80585,Sam 's Club,2010-09-20 00:00:00
80586,Target,2010-09-20 00:00:00
80587,Walmart,2010-09-20 00:00:00
80588,Big 5,2010-09-21 00:00:00
80589,Dick 's Sproting Goods,2010-09-21 00:00:00
80590,K-Mart,2010-09-21 00:00:00
80591,Academy Sports,2010-09-22 00:00:00
80592,Costco,2010-09-22 00:00:00
80593,Dick 's Sproting Goods,2010-09-23 00:00:00
80594,K-Mart,2010-09-23 00:00:00
80595,Costco,2010-09-24 00:00:00
80596,Sam 's Club,2010-09-24 00:00:00
80597,K-Mart,2010-09-25 00:00:00
80598,Target,2010-09-25 00:00:00
80599,Costco,2010-09-26 00:00:00
80600,Sam 's Club,2010-09-26 00:00:00
80601,Walmart,2010-09-26 00:00:00
80602,K-Mart,2010-09-27 00:00:00
80603,Academy Sports,2010-09-28 00:00:00
80604,Dick 's Sproting Goods,2010-09-28 00:00:00
80605,Sam 's Club,2010-09-28 00:00:00
80606,Big 5,2010-09-29 00:00:00
80607,Costco,2010-09-29 00:00:00
80608,Target,2010-09-29 00:00:00
80609,Walmart,2010-09-29 00:00:00
80610,Academy Sports,2010-10-01 00:00:00
80611,Big 5,2010-10-01 00:00:00
80612,Costco,2010-10-01 00:00:00
80613,Dick 's Sproting Goods,2010-10-01 00:00:00
80614,K-Mart,2010-10-02 00:00:00
80615,Target,2010-10-02 00:00:00
80616,Walmart,2010-10-02 00:00:00
80617,Big 5,2010-10-03 00:00:00
80618,Costco,2010-10-03 00:00:00
80619,Academy Sports,2010-10-04 00:00:00
80620,Sam 's Club,2010-10-04 00:00:00
80621,K-Mart,2010-10-05 00:00:00
80622,Target,2010-10-05 00:00:00
80623,Academy Sports,2010-10-06 00:00:00
80624,Big 5,2010-10-06 00:00:00
80625,Costco,2010-10-06 00:00:00
80626,Sam 's Club,2010-10-06 00:00:00
80627,Walmart,2010-10-06 00:00:00
80628,K-Mart,2010-10-07 00:00:00
80629,Target,2010-10-07 00:00:00
80630,Big 5,2010-10-08 00:00:00
80631,Costco,2010-10-08 00:00:00
80632,Dick 's Sproting Goods,2010-10-08 00:00:00
80633,Walmart,2010-10-08 00:00:00
80634,Academy Sports,2010-10-09 00:00:00
