name,url,address,address2,city,state,zip,phone,fax
House of Doolittle,http://www.houseofdoolittle.com/,3001 Malmo Drive,,Arlington Heights,IL,60005,800-621-9546,888-621-6660
Image One,https://imageonecollegiate.com/,3300 W 65th Street,,Little Rock,AR,72209,(501) 663-9595,
"Innovative Adhesives, LLC",https://fanapeel.com/,P.O. Box 1719,,Cary,NC,27512,866-926-2266,
Jardine Associates,https://www.jardineassociates.com/,200 Compass Circle,,North Kingstown,RI,2852,(800) 543-7655,(401) 667-3818
Jaymac Sports Products,https://jaymacsports.com/,4255 Bannockburn Rd,,Florence,SC,29505,843-661-5622,
Jenkins Enterprises,https://www.jenkins-enterprises.com/,7200 Industry Dr,,North Little Rock,AR,72117,(501) 945-2600,
Johnnie-O,https://www.johnnie-o.com/,2048 Cotner Avenue,,Los Angeles,CA,90025,877-787-4703,
Jostens Inc,https://www.jostens.com/,7760 France Ave S,Ste 400,Minneapolis,MN,55435,(952) 830-3300,
Kitty Keller Designs,https://kittykeller.com/,416 N. Austin Street,,Seguin,TX,78155,877-597-3357 ,830-303-7040 
Ladiva Sport LLC,https://ladivasport.com/,7511 E Rose Garden Ln,,Scottsdale,AZ,85255,(855) 523-4827,
Landes Inc,https://www.landesusa.com/,4500 S. Pinemont Dr,,HOUSTON,TX,77041,713-665-0655,713-665-6392
League Collegiate Wear,https://league-legacy.com/,299 Fame Ave,,Hanover,PA,17331,800-627-3243,(717)630-0826
Legacy Apparel,https://league-legacy.com/,300 Fame Ave,,Hanover,PA,17331,800-627-3244,(717)630-0827
Life Is Good,https://www.lifeisgood.com/,15 Hudson Park Dr,,Hudson,NH,3051,(603) 594-6100,
Logo Brands,https://logobrands.com/,117 SE Parkway,,Franklin,TN,37064,(615) 261-2100,
Logofit LLC,https://www.logofit.com/,3202 Lapeer Rd,,Flint,MI,48503,(810) 715-1980,
Lokai Holdings LLC,https://lokai.com/,180 Varick St,Rm 504,New York,NY,10014,(646) 979-3474,
LXG,https://www.lxginc.com/,921 S Park Ln,,Tempe,AZ,85281,(602) 437-5550,602-437-5445
Mascot Factory,https://www.mascotfactory.com/,12340 Stowe Drive,Suite B,Poway,CA,92064,(858) 679-2244,(407) 386-6968
Mv Sport Us,https://www.mvsport.com/,88 Spence St,,Bay Shore,NY,11706,(800) 367-7900,
Neil Enterprises Inc,https://www.neilenterprises.com/,1000 Woodlands Parkway,,Vernon Hills,IL,60061,847-549-7627,847-549-0349
"New Era Cap Company,Inc.",https://www.neweracap.com/,160 Delaware Ave,,Buffalo,NY,14201,(716)604-9000,(716)604-9299 
Nike Team Sports,https://niketeam.nike.com/,1 Bowerman Drive,,Beaverton,OR,97005,503-671-6453,
Nordic,https://www.nordicpromos.com/,5 Tripps Ln,,Riverside,RI,02915,(401) 431-9299,
Outerstuff Ltd,https://www.outerstuff.com/,1412 Broadway,18th floor,New York,NY,10018,(212) 594 9700,
Pegasus Sports LLC,https://www.pegasussports.net/,550 Wolverine St,,Rockford,MI,49341,616-866-1833,
Peter Millar,https://www.petermillar.com/,1002 Twin Creeks Ct,,Durham,NC,27703,(919) 465-0155,
Photografx,http://photografxworldwide.com/,34082 Pinehurst Dr,,Yucaipa,CA,92399,(909) 797-8426,
Picnic Time,https://www.picnictime.com/,5131 Maureen Lane,,Moorpark,CA,93021,(805) 529-7400,(805) 529-7474
Pressbox,http://pressboxusa.com/,5800 Royce St,,Kannapolis ,NC,28083,(704) 933-6000,
Real-Time Marketing,https://www.chromeemblems.com/,3230 Commander Drive,,Carrollton,TX,75006,(214) 363-3170,(214) 363-9236
Retro Brandss,https://www.originalretrobrand.com/,1415 Emerald Road,,Greenwood,SC,29646,855-708-7674,
"RFSJ, Inc",https://www.rfsj.com/,654 W. Main Street,,Mt. Pleasant,PA,15666,724-547-4457,
"Riddell, Inc",https://riddell.com/,1700 E Higgins Rd,Ste 500,Des Plaines,IL,60018,888-681-1717,
Roaring Spring Blank Book Co.,http://rspaperproducts.com/,740 Spang Street,,Roaring Spring,PA,16673,814-224-5141,814-793-2321
Society 43,https://society43.com/,2505 SE 11TH Ave Ste 300,,Portland,OR,97202,(503) 954-2817,
Spirit Products Ltd.,https://www.spiritproducts.com/,55 Chase St. ,,Methuen,MA,01844,(978) 372-2022,
"Stance, Inc",https://www.stance.com/,197 Av. La Pata,,San Clemente,CA,92673,(888) 391-9020,
"Stockdale Technologies, Inc",http://www.stockdaletechnologies.com/,550 Technology Park,,Lake Mary,FL,32746,(407) 323-5121,
Storm Duds,https://www.stormduds.com/,100 Frank Mossberg Dr,,Attleboro,MA,02703,(508) 222-0155,
Strand Art Co.,https://www.strandart.com/, 4700 E Hunter Avenue,,Anaheim,CA,92807 ,714-777-0444 ,714-970-8890
Strideline,https://www.strideline.com/,117 E. Louisa St,#536,Seattle,WA,98102,(206) 801-0116,
Tervis Tumbler,https://www.tervis.com/,201 Triple Diamond Blvd,,North Venice,FL,34275,(848) 260-4260,
The Fanatic Group,https://www.thefanaticgroup.com/,400 Raritan Center Parkway,Suite E,Edison,NJ,08837,732.512.1777,
The Game,https://www.thegameheadwear.com/,16 Downing Dr,,Phenix City,AL,36869,(334) 291-5151,
The Northwest Company,https://thenorthwest.com/,49 Bryant Ave,,Roslyn,NY,11576,(800) 242-6996,
The Original Retro Brand,https://www.originalretrobrand.com/,1415 Emerald Road,,Greenwood,SC,29646,855-708-7674,
Timeless Etchings LLC,https://www.timelessetchingsco.com/,408 Russell Street,,Milton-Freewater,OR,97862,541-561-9311,
Tommy Bahama Group,https://www.tommybahama.com/,400 Fairview Ave. N,Suite 488,Seattle,WA,98109,1-866-986-8282,
Twin City Knitting Co.,https://tcksports.com/,PO Box 1179,, Conover,NC, 28613,828-464-4830,828-465-3209
University Blanket & Flag Corp.,https://ubflag.com/,1111 Orange Avenue,Suite C,Coronado,CA ,92118,800-247-5897,
University Girls,https://ugapparel.com/,112 Olde Ash Ln,,Charleston,WV,25311,(304) 610-2280,
USA Licensed Bows Inc,https://sportsbows.com/,20 Empire Drive,,Belleville,IL,62220,800-866-2697,
Victory Tailgate,https://www.victorytailgate.com/,2437 E. Landstreet Road,,Orlando,FL, 32824,888-577-4460,
Wear It Promotions,https://wearitpro.com/,1202 N Taylor Rd,,Brandon,FL,33510,(813) 410-7597,
Wes & Willy LLC,https://wesandwilly.com/,4524 F Street,,Omaha,NE,68117,402-884-5001,
Wincraft Inc,https://www.wincraft.com/,960 East Mark Street,P.O. Box 888,Winona,MN,55987,(800) 533-8006,
Winning Streak Sports,https://winningstreaksports.com/,9821 Widmer Rd,,Lenexa,KS,66215,800-768-0889,
Worthy Promo Products,https://worthypromo.com/,1515 Kowaliga Rd,,Eclectic,AL,36024,(334) 541-4070,
Yeti Coolers,https://www.yeti.com/en_US,7601 Southwest Parkway,,Austin,TX,78735,512-394-9384,
Zephyr Graf-X,https://www.zhats.com/,5443 Earhart Rd,,Loveland,CO,80538,970-663-3242,
Zoozatz,https://www.zoozatz.com/,5121 WINNETKA AVE N,SUITE 290,NEW HOPE,MN,55428,763-545-9544,763-544-3820

